"K","seed","heldout_mean_log_likelihood","heldout_deviance_per_pixel"
8,1,-0.915147480400068,0.81636952069087
8,2,-0.913242012960029,0.812808528200534
12,1,-0.889754478862712,0.765583517616037
12,2,-0.889660607390733,0.765645717061958
16,1,-0.878653082208813,0.743380724308371
16,2,-0.875224982451189,0.736774467182842
20,1,-0.867530357886657,0.721135275664011
20,2,-0.869249471977061,0.724823446234585
