"K","mean_log_likelihood","se_log_likelihood","mean_deviance"
8,-0.914194746680049,0.000952733720019694,0.814589024445702
12,-0.889707543126723,4.69357359898503e-05,0.765614617338997
16,-0.876939032330001,0.00171404987881213,0.740077595745606
20,-0.868389914931859,0.000859557045202131,0.722979360949298
