"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,0.999999999981,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13
"2",9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,0.999999999981
"3",0.290455644135401,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,0.179080775015298,9.99999999981e-13,9.99999999981e-13,0.530463580832302
"4",9.99999999981e-13,9.99999999981e-13,0.999999999981,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13
"5",9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,0.297210814357383,9.99999999981e-13,9.99999999981e-13,0.520437551079219,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,0.182351634546398,9.99999999981e-13
"6",9.99999999981001e-13,9.99999999981001e-13,9.99999999981001e-13,9.99999999981001e-13,9.99999999981001e-13,9.99999999981001e-13,9.99999999981001e-13,0.725377066934493,0.274622933047508,9.99999999981001e-13,9.99999999981001e-13,9.99999999981001e-13,9.99999999981001e-13,9.99999999981001e-13,9.99999999981001e-13,9.99999999981001e-13,9.99999999981001e-13,9.99999999981001e-13,9.99999999981001e-13,9.99999999981001e-13
"7",9.99999999981e-13,9.99999999981e-13,0.604169392947854,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,0.301256087537064,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,0.0945745194980818,9.99999999981e-13
"8",9.99999999980999e-13,9.99999999980999e-13,9.99999999980999e-13,0.583233831450864,9.99999999980999e-13,9.99999999980999e-13,9.99999999980999e-13,9.99999999980999e-13,9.99999999980999e-13,0.416766168531135,9.99999999980999e-13,9.99999999980999e-13,9.99999999980999e-13,9.99999999980999e-13,9.99999999980999e-13,9.99999999980999e-13,9.99999999980999e-13,9.99999999980999e-13,9.99999999980999e-13,9.99999999980999e-13
"9",0.192700780748026,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,0.478521870413684,9.99999999981e-13,0.328777348821289,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13
"10",9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,0.999999999981,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13
"11",9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,0.437435279873893,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,0.562564720108107,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13
"12",9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,9.99999999981e-13,0.999999999981,9.99999999981e-13,9.99999999981e-13
